technique,movement,clustering,throughput_shannon_nominal_bps,throughput_shannon_effective_bps,throughput_hoffmann_bps,avgTime_ms,precisionRate_percent,avgErrorClicks,avgNormalizedDistance,avgDistanceFromCenter_px
BUBBLE,STATIC,LOW,4.66,4.24,4.66,747.467,71.667,0.0,0.887,17.23
BUBBLE,STATIC,MEDIUM,4.32,4.287,4.32,794.083,85.0,0.033,0.637,12.66
BUBBLE,STATIC,HIGH,4.07,3.73,4.07,791.867,78.333,0.217,0.712,12.377
BUBBLE,SLOW,LOW,4.463,3.197,8.327,822.9,45.0,0.033,1.272,23.517
BUBBLE,SLOW,MEDIUM,3.557,2.727,6.407,1381.567,68.333,0.15,1.013,17.767
BUBBLE,SLOW,HIGH,3.19,2.987,6.033,1274.767,78.333,0.3,0.766,12.907
BUBBLE,FAST,LOW,3.82,2.683,6.923,1216.883,46.667,0.05,1.36,24.503
BUBBLE,FAST,MEDIUM,3.747,2.947,6.927,1212.183,58.333,0.267,1.104,18.56
BUBBLE,FAST,HIGH,3.31,2.71,5.953,1551.667,60.0,0.567,0.94,16.937
POINT,STATIC,LOW,3.987,4.22,3.987,810.583,100.0,0.117,0.573,11.423
POINT,STATIC,MEDIUM,3.86,4.027,3.86,792.167,100.0,0.083,0.473,9.027
POINT,STATIC,HIGH,4.077,4.32,4.077,821.6,100.0,0.033,0.497,9.093
POINT,SLOW,LOW,3.073,3.057,5.77,1206.417,100.0,0.35,0.587,11.31
POINT,SLOW,MEDIUM,2.727,2.657,5.27,1526.75,100.0,0.633,0.518,9.277
POINT,SLOW,HIGH,2.79,2.897,5.307,1439.667,100.0,0.767,0.538,8.807
POINT,FAST,LOW,2.96,2.99,5.37,1531.017,100.0,0.65,0.619,11.643
POINT,FAST,MEDIUM,2.76,2.693,5.167,1700.933,100.0,1.15,0.636,11.957
POINT,FAST,HIGH,2.293,2.31,4.443,2089.85,100.0,1.433,0.524,9.32
AREA,STATIC,LOW,4.35,3.623,4.35,683.067,73.333,0.05,0.846,16.117
AREA,STATIC,MEDIUM,4.01,4.15,4.01,887.383,95.0,0.133,0.557,9.67
AREA,STATIC,HIGH,3.667,4.12,3.667,930.317,98.333,0.233,0.429,7.807
AREA,SLOW,LOW,3.533,3.233,6.38,1268.85,80.0,0.183,0.713,14.0
AREA,SLOW,MEDIUM,3.363,3.107,6.26,1426.867,86.667,0.4,0.745,12.713
AREA,SLOW,HIGH,2.913,2.913,5.82,1585.767,95.0,0.45,0.667,12.543
AREA,FAST,LOW,3.51,2.817,6.337,1563.7,63.333,0.3,1.019,17.193
AREA,FAST,MEDIUM,2.937,2.81,5.05,1473.55,86.667,0.7,0.74,13.15
AREA,FAST,HIGH,2.823,2.787,5.267,1777.867,98.333,0.717,0.657,11.997
