participant,technique,n,mean_mt,sd_mt,median_mt,total_errors,precision
0,BUBBLE,9,744.1111111111111,176.84063761226125,724.0,0,
0,POINT,9,1067.5555555555557,745.0696462598498,764.0,5,
0,AREA,9,768.8888888888889,198.40894917092604,694.0,0,
1,BUBBLE,180,745.8722222222223,241.62557096160205,687.5,14,0.7944444444444444
1,POINT,180,1018.5388888888889,605.6808105671347,838.0,80,1.0
1,AREA,180,791.1388888888889,260.36696844212355,730.5,36,0.9
3,BUBBLE,180,1897.3333333333333,1434.4834275482635,1397.0,30,0.7388888888888889
3,POINT,180,2038.9333333333334,2401.398720904085,1265.0,72,1.0
3,AREA,180,2272.188888888889,1781.6582282620745,1548.0,26,0.9388888888888889
10,BUBBLE,180,621.2555555555556,222.12554007937848,528.5,53,0.4388888888888889
10,POINT,180,915.5222222222222,431.4986545620842,784.0,161,1.0
10,AREA,180,802.4611111111111,422.03737508097436,602.0,128,0.75
