technique,movement,clustering,n,mt_mean,mt_sd,mt_median,mt_q25,mt_q75,err_mean,err_sd,precision_rate
BUBBLE,STATIC,LOW,61,745.2786885245902,304.0109719043892,627.0,486.0,911.0,0.0,0.0,0.7166666666666667
BUBBLE,STATIC,MEDIUM,61,791.1475409836065,379.0305104722474,598.0,517.0,982.0,0.03278688524590164,0.1795562228341584,0.85
BUBBLE,STATIC,HIGH,61,790.7540983606557,231.94781422680012,742.0,611.0,944.0,0.21311475409836064,0.4869891887355973,0.7833333333333333
BUBBLE,SLOW,LOW,61,822.2295081967213,448.50059061434996,618.0,496.0,1038.0,0.03278688524590164,0.25607375986579195,0.45
BUBBLE,SLOW,MEDIUM,61,1368.4262295081967,1439.4418763189249,743.0,582.0,1395.0,0.14754098360655737,0.44106180873623946,0.6833333333333333
BUBBLE,SLOW,HIGH,61,1267.5245901639344,953.4456217068241,864.0,762.0,1456.0,0.29508196721311475,0.5580998206737443,0.7833333333333333
BUBBLE,FAST,LOW,61,1209.1475409836066,1119.787715537571,735.0,521.0,1447.0,0.04918032786885246,0.2843841010673605,0.4666666666666667
BUBBLE,FAST,MEDIUM,61,1202.9180327868853,1287.4554528873607,774.0,615.0,1166.0,0.26229508196721313,0.6807260668889333,0.5833333333333334
BUBBLE,FAST,HIGH,61,1545.1967213114754,1531.0790184231964,1060.0,708.0,1678.0,0.5573770491803278,0.8470456533138072,0.6
POINT,STATIC,LOW,61,807.8852459016393,196.36633268465818,781.0,646.0,920.0,0.11475409836065574,0.36961063547728645,1.0
POINT,STATIC,MEDIUM,61,787.2622950819672,241.37280305503526,767.0,609.0,872.0,0.08196721311475409,0.3314152464413346,1.0
POINT,STATIC,HIGH,61,820.5573770491803,209.15357392676503,771.0,642.0,946.0,0.03278688524590164,0.1795562228341584,1.0
POINT,SLOW,LOW,61,1205.6065573770493,1350.5312692750279,879.0,719.0,1174.0,0.36065573770491804,0.6591101800975286,1.0
POINT,SLOW,MEDIUM,61,1512.8196721311476,1692.0418386099552,1078.0,794.0,1536.0,0.6229508196721312,1.3059343325276034,1.0
POINT,SLOW,HIGH,61,1429.8196721311476,900.0672661565676,1111.0,841.0,1636.0,0.7540983606557377,1.4451728582297463,1.0
POINT,FAST,LOW,61,1553.8852459016393,1739.1719974206178,1000.0,747.0,1670.0,0.6885245901639344,1.2979597272457695,1.0
POINT,FAST,MEDIUM,61,1685.5737704918033,2059.5002990937423,1040.0,813.0,1972.0,1.1311475409836065,1.8571969006728533,1.0
POINT,FAST,HIGH,61,2077.688524590164,2588.5099480910094,1407.0,1021.0,1847.0,1.4262295081967213,1.7838069439024933,1.0
AREA,STATIC,LOW,61,680.7377049180328,204.19581301937808,594.0,519.0,824.0,0.04918032786885246,0.21803894974650143,0.7333333333333333
AREA,STATIC,MEDIUM,61,883.7049180327868,363.5172780974927,693.0,593.0,1196.0,0.13114754098360656,0.4991796549027739,0.95
AREA,STATIC,HIGH,61,924.8032786885246,363.2088847881767,802.0,613.0,1288.0,0.22950819672131148,0.5595665770025589,0.9833333333333333
AREA,SLOW,LOW,61,1259.4262295081967,1183.5391341088866,765.0,587.0,1568.0,0.18032786885245902,0.5629741474618373,0.8
AREA,SLOW,MEDIUM,61,1416.311475409836,1510.0867032611472,828.0,694.0,1346.0,0.39344262295081966,0.8617557373291299,0.8666666666666667
AREA,SLOW,HIGH,61,1576.9180327868853,1380.734337168474,1008.0,743.0,1736.0,0.4426229508196721,0.7421722658056873,0.95
AREA,FAST,LOW,61,1556.5409836065573,1520.3354407692457,831.0,644.0,1938.0,0.29508196721311475,1.0854225336258372,0.6333333333333333
AREA,FAST,MEDIUM,61,1462.5081967213114,1344.3153353157238,1057.0,786.0,1541.0,0.6885245901639344,0.9753799876041025,0.8666666666666667
AREA,FAST,HIGH,61,1759.7377049180327,1866.2709869473165,1099.0,685.0,1669.0,0.7049180327868853,1.2825009719954987,0.9833333333333333
